map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,overall_score,planner_type,path_role
narrow_passage,16,True,False,10.000301,17.072104,121,16.267581,0.804523,6,16.285989,9.780771,1.659749,rrt_star,fastest time
narrow_passage,19,True,False,10.052143,17.385649,123,16.487040,0.898609,4,16.266877,9.776739,1.648558,rrt_star,fastest time
narrow_passage,22,True,False,10.065084,16.843260,117,8.834679,8.008581,2,16.244716,9.550836,1.742868,rrt_star,fastest time
narrow_passage,25,True,False,10.017888,16.560765,116,16.052983,0.507782,2,16.681355,9.177270,1.578658,rrt_star,fastest time
narrow_passage,28,True,False,10.001169,17.471329,122,16.518958,0.952372,8,16.488158,9.018415,1.654021,rrt_star,fastest time
narrow_passage,31,True,False,10.044775,18.007650,125,9.038176,8.969473,2,16.390387,9.594746,1.798929,rrt_star,fastest time
narrow_passage,34,True,False,10.027036,16.077156,111,15.291801,0.785354,2,15.371307,8.682655,1.496591,rrt_star,fastest time
narrow_passage,1,True,False,10.017235,16.457506,116,15.873572,0.583934,4,15.830249,8.808864,1.545707,rrt_star,lowest uncertainty
narrow_passage,4,True,False,10.011664,17.974055,122,8.034211,9.939845,2,16.632671,9.518373,1.821394,rrt_star,lowest uncertainty
narrow_passage,7,True,False,10.018563,16.403227,114,15.672203,0.731023,4,15.557919,9.016598,1.550224,rrt_star,lowest uncertainty
narrow_passage,10,True,False,10.025810,17.047988,122,6.378181,10.669807,4,17.583422,9.176631,1.845613,rrt_star,lowest uncertainty
narrow_passage,13,True,False,10.046654,17.799419,124,9.088577,8.710842,3,17.639768,10.000167,1.866604,rrt_star,lowest uncertainty
narrow_passage,16,True,False,10.002685,17.072104,121,16.267581,0.804523,6,16.285989,9.780771,1.659749,rrt_star,lowest uncertainty
narrow_passage,19,True,False,10.009439,17.385649,123,16.487040,0.898609,4,16.266877,9.776739,1.648558,rrt_star,lowest uncertainty
narrow_passage,22,True,False,10.004647,16.843260,117,8.834679,8.008581,2,16.244716,9.550836,1.742868,rrt_star,lowest uncertainty
narrow_passage,25,True,False,10.038334,16.560765,116,16.052983,0.507782,2,16.681355,9.177270,1.578658,rrt_star,lowest uncertainty
narrow_passage,28,True,False,10.018229,17.471329,122,16.518958,0.952372,8,16.488158,9.018415,1.654021,rrt_star,lowest uncertainty
narrow_passage,31,True,False,10.007496,17.861745,124,9.302088,8.559656,6,17.632196,10.362067,1.916588,rrt_star,lowest uncertainty
narrow_passage,34,True,False,10.047837,16.077156,111,15.291801,0.785354,2,15.371307,8.682655,1.496591,rrt_star,lowest uncertainty
narrow_passage,1,True,False,10.056127,17.596783,123,16.402944,1.193839,3,16.543199,9.638900,1.651142,rrt_star,overall best
narrow_passage,4,True,False,10.016532,17.974055,122,8.034211,9.939845,2,16.632671,9.518373,1.821394,rrt_star,overall best
narrow_passage,7,True,False,10.058614,17.056737,119,16.172212,0.884525,6,16.457994,9.649032,1.659081,rrt_star,overall best
narrow_passage,10,True,False,10.052306,17.415324,122,8.768024,8.647301,2,16.316796,9.787981,1.786696,rrt_star,overall best
narrow_passage,13,True,False,10.014497,18.034670,128,6.736554,11.298116,9,18.175308,9.843761,1.993591,rrt_star,overall best
narrow_passage,16,True,False,10.066685,17.092083,120,16.287560,0.804523,6,16.162058,9.695748,1.650809,rrt_star,overall best
narrow_passage,19,True,False,10.078313,17.385649,123,16.487040,0.898609,4,16.266877,9.776739,1.648558,rrt_star,overall best
narrow_passage,22,True,False,10.049939,16.898310,118,8.889728,8.008581,2,16.330743,9.475499,1.742735,rrt_star,overall best
narrow_passage,25,True,False,10.006062,17.026694,119,16.262773,0.763921,6,16.622132,9.215762,1.635666,rrt_star,overall best
narrow_passage,28,True,False,10.001723,18.870802,132,10.222651,8.648151,4,17.588902,10.940912,1.956799,rrt_star,overall best
narrow_passage,31,True,False,10.089449,18.437570,129,9.546072,8.891499,4,16.864512,9.713545,1.851840,rrt_star,overall best
narrow_passage,34,True,False,10.031295,16.108862,112,15.323507,0.785354,2,15.354616,8.689915,1.497235,rrt_star,overall best
parking_lot,1,False,True,10.010703,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,4,False,True,10.005390,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,7,False,True,10.002813,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,10,False,True,10.010842,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,13,False,True,10.001211,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,16,False,True,10.002405,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,19,False,True,10.001791,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,22,False,True,10.006696,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,25,False,True,10.010339,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,28,False,True,10.001471,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,31,False,True,10.001607,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,34,False,True,10.000469,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
parking_lot,1,False,True,10.015739,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,4,False,True,10.001203,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,7,False,True,10.057407,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,10,False,True,10.032550,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,13,False,True,10.061310,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,16,False,True,10.055252,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,19,False,True,10.050954,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,22,False,True,10.039941,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,25,False,True,10.010905,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,28,False,True,10.025933,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,31,False,True,10.003148,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,34,False,True,10.005542,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
parking_lot,1,False,True,10.043121,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,4,False,True,10.032218,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,7,False,True,10.042561,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,10,False,True,10.021016,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,13,False,True,10.027160,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,16,False,True,10.004467,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,19,False,True,10.000602,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,22,False,True,10.000221,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,25,False,True,10.054683,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,28,False,True,10.046460,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
